SampleID	bamPath	ReadDepth	Type
18486	/data/internal/Yoruba/RNAseq/Parents/18486/18486argonne.all.keep.bam	5110286	AG
18498	/data/internal/Yoruba/RNAseq/Parents/18498/18498argonne.all.keep.bam	7580828	GG
18499	/data/internal/Yoruba/RNAseq/Parents/18499/18499argonne.all.keep.bam	6967066	GG
18501	/data/internal/Yoruba/RNAseq/Parents/18501/18501argonne.all.keep.bam	1726855	GG
18504	/data/internal/Yoruba/RNAseq/Parents/18504/18504argonne.all.keep.bam	1932351	AG
18505	/data/internal/Yoruba/RNAseq/Parents/18505/18505argonne.all.keep.bam	4419714	AG
18507	/data/internal/Yoruba/RNAseq/Parents/18507/18507argonne.all.keep.bam	5115157	GG
18508	/data/internal/Yoruba/RNAseq/Parents/18508/18508argonne.all.keep.bam	5343013	GG
18510	/data/internal/Yoruba/RNAseq/Parents/18510/18510argonne.all.keep.bam	4181252	GG
18511	/data/internal/Yoruba/RNAseq/Parents/18511/18511argonne.all.keep.bam	5802187	GG
18516	/data/internal/Yoruba/RNAseq/Parents/18516/18516argonne.all.keep.bam	776932	AA
18517	/data/internal/Yoruba/RNAseq/Parents/18517/18517argonne.all.keep.bam	6760242	GG
18519	/data/internal/Yoruba/RNAseq/Parents/18519/18519argonne.all.keep.bam	5368131	GG
18520	/data/internal/Yoruba/RNAseq/Parents/18520/18520argonne.all.keep.bam	5886819	AG
18522	/data/internal/Yoruba/RNAseq/Parents/18522/18522argonne.all.keep.bam	5543960	GG
18523	/data/internal/Yoruba/RNAseq/Parents/18523/18523argonne.all.keep.bam	3594006	AG
18852	/data/internal/Yoruba/RNAseq/Parents/18852/18852argonne.all.keep.bam	3707024	AG
18853	/data/internal/Yoruba/RNAseq/Parents/18853/18853argonne.all.keep.bam	5845971	AG
18856	/data/internal/Yoruba/RNAseq/Parents/18856/18856argonne.all.keep.bam	444858	GG
18858	/data/internal/Yoruba/RNAseq/Parents/18858/18858argonne.all.keep.bam	5025622	AG
18861	/data/internal/Yoruba/RNAseq/Parents/18861/18861argonne.all.keep.bam	5919432	GG
18862	/data/internal/Yoruba/RNAseq/Parents/18862/18862argonne.all.keep.bam	6116336	AA
18870	/data/internal/Yoruba/RNAseq/Parents/18870/18870argonne.all.keep.bam	3997557	AG
18871	/data/internal/Yoruba/RNAseq/Parents/18871/18871argonne.all.keep.bam	4601674	GG
18909	/data/internal/Yoruba/RNAseq/Parents/18909/18909argonne.all.keep.bam	6369551	AA
18912	/data/internal/Yoruba/RNAseq/Parents/18912/18912argonne.all.keep.bam	1985592	AG
18913	/data/internal/Yoruba/RNAseq/Parents/18913/18913argonne.all.keep.bam	5179049	AG
18916	/data/internal/Yoruba/RNAseq/Parents/18916/18916argonne.all.keep.bam	5176686	AG
19093	/data/internal/Yoruba/RNAseq/Parents/19093/19093argonne.all.keep.bam	7910264	AG
19098	/data/internal/Yoruba/RNAseq/Parents/19098/19098argonne.all.keep.bam	5410317	GG
19099	/data/internal/Yoruba/RNAseq/Parents/19099/19099argonne.all.keep.bam	6448868	AG
19101	/data/internal/Yoruba/RNAseq/Parents/19101/19101argonne.all.keep.bam	5817084	AG
19102	/data/internal/Yoruba/RNAseq/Parents/19102/19102argonne.all.keep.bam	1972254	AG
19114	/data/internal/Yoruba/RNAseq/Parents/19114/19114argonne.all.keep.bam	4837407	GG
19116	/data/internal/Yoruba/RNAseq/Parents/19116/19116argonne.all.keep.bam	7071715	AG
19119	/data/internal/Yoruba/RNAseq/Parents/19119/19119argonne.all.keep.bam	924586	GG
19127	/data/internal/Yoruba/RNAseq/Parents/19127/19127argonne.all.keep.bam	5281231	AG
19128	/data/internal/Yoruba/RNAseq/Parents/19128/19128argonne.all.keep.bam	6327264	GG
19130	/data/internal/Yoruba/RNAseq/Parents/19130/19130argonne.all.keep.bam	6699905	GG
19131	/data/internal/Yoruba/RNAseq/Parents/19131/19131argonne.all.keep.bam	6117981	GG
19137	/data/internal/Yoruba/RNAseq/Parents/19137/19137argonne.all.keep.bam	4801609	GG
19138	/data/internal/Yoruba/RNAseq/Parents/19138/19138argonne.all.keep.bam	5249994	GG
19140	/data/internal/Yoruba/RNAseq/Parents/19140/19140argonne.all.keep.bam	4956532	GG
19143	/data/internal/Yoruba/RNAseq/Parents/19143/19143argonne.all.keep.bam	6690903	AG
19144	/data/internal/Yoruba/RNAseq/Parents/19144/19144argonne.all.keep.bam	5702293	GG
19147	/data/internal/Yoruba/RNAseq/Parents/19147/19147argonne.all.keep.bam	6439975	AG
19152	/data/internal/Yoruba/RNAseq/Parents/19152/19152argonne.all.keep.bam	7018529	AA
19153	/data/internal/Yoruba/RNAseq/Parents/19153/19153argonne.all.keep.bam	4587689	GG
19159	/data/internal/Yoruba/RNAseq/Parents/19159/19159argonne.all.keep.bam	4367163	AG
19160	/data/internal/Yoruba/RNAseq/Parents/19160/19160argonne.all.keep.bam	5760456	AA
19171	/data/internal/Yoruba/RNAseq/Parents/19171/19171argonne.all.keep.bam	803264	AG
19172	/data/internal/Yoruba/RNAseq/Parents/19172/19172argonne.all.keep.bam	7601512	AG
19190	/data/internal/Yoruba/RNAseq/Parents/19190/19190argonne.all.keep.bam	5615417	GG
19192	/data/internal/Yoruba/RNAseq/Parents/19192/19192argonne.all.keep.bam	4851062	AG
19193	/data/internal/Yoruba/RNAseq/Parents/19193/19193argonne.all.keep.bam	3588825	GG
19200	/data/internal/Yoruba/RNAseq/Parents/19200/19200argonne.all.keep.bam	765586	AG
19201	/data/internal/Yoruba/RNAseq/Parents/19201/19201argonne.all.keep.bam	5486036	GG
19203	/data/internal/Yoruba/RNAseq/Parents/19203/19203argonne.all.keep.bam	5523173	AG
19204	/data/internal/Yoruba/RNAseq/Parents/19204/19204argonne.all.keep.bam	5796232	AG
19209	/data/internal/Yoruba/RNAseq/Parents/19209/19209argonne.all.keep.bam	7015509	GG
19210	/data/internal/Yoruba/RNAseq/Parents/19210/19210argonne.all.keep.bam	5460657	GG
19222	/data/internal/Yoruba/RNAseq/Parents/19222/19222argonne.all.keep.bam	5290381	AG
19225	/data/internal/Yoruba/RNAseq/Parents/19225/19225argonne.all.keep.bam	4898141	GG
19238	/data/internal/Yoruba/RNAseq/Parents/19238/19238argonne.all.keep.bam	4574533	GG
19239	/data/internal/Yoruba/RNAseq/Parents/19239/19239argonne.all.keep.bam	5122534	AG
19257	/data/internal/Yoruba/RNAseq/Parents/19257/19257argonne.all.keep.bam	5160429
