SampleID bamPath ReadDepth	Type
18486 /data/internal/Yoruba/RNAseq/Parents/18486/18486.argonne.all.keep.bam 5110286	AG
18498 /data/internal/Yoruba/RNAseq/Parents/18498/18498.argonne.all.keep.bam 7580828	GG
18499 /data/internal/Yoruba/RNAseq/Parents/18499/18499.argonne.all.keep.bam 6967066	GG
18501 /data/internal/Yoruba/RNAseq/Parents/18501/18501.argonne.all.keep.bam 1726855	GG
18504 /data/internal/Yoruba/RNAseq/Parents/18504/18504.argonne.all.keep.bam 1932351	AG
18505 /data/internal/Yoruba/RNAseq/Parents/18505/18505.argonne.all.keep.bam 4419714	AG
18507 /data/internal/Yoruba/RNAseq/Parents/18507/18507.argonne.all.keep.bam 5115157	GG
18508 /data/internal/Yoruba/RNAseq/Parents/18508/18508.argonne.all.keep.bam 5343013	GG
18510 /data/internal/Yoruba/RNAseq/Parents/18510/18510.argonne.all.keep.bam 4181252	GG
18511 /data/internal/Yoruba/RNAseq/Parents/18511/18511.argonne.all.keep.bam 5802187	GG
18516 /data/internal/Yoruba/RNAseq/Parents/18516/18516.argonne.all.keep.bam 776932	AA
18517 /data/internal/Yoruba/RNAseq/Parents/18517/18517.argonne.all.keep.bam 6760242	GG
18519 /data/internal/Yoruba/RNAseq/Parents/18519/18519.argonne.all.keep.bam 5368131	GG
18520 /data/internal/Yoruba/RNAseq/Parents/18520/18520.argonne.all.keep.bam 5886819	AG
18522 /data/internal/Yoruba/RNAseq/Parents/18522/18522.argonne.all.keep.bam 5543960	GG
18523 /data/internal/Yoruba/RNAseq/Parents/18523/18523.argonne.all.keep.bam 3594006	AG
18852 /data/internal/Yoruba/RNAseq/Parents/18852/18852.argonne.all.keep.bam 3707024	AG
18853 /data/internal/Yoruba/RNAseq/Parents/18853/18853.argonne.all.keep.bam 5845971	GG
18855 /data/internal/Yoruba/RNAseq/Parents/18855/18855.argonne.all.keep.bam 4163486	AG
18858 /data/internal/Yoruba/RNAseq/Parents/18858/18858.argonne.all.keep.bam 5025622	GG
18861 /data/internal/Yoruba/RNAseq/Parents/18861/18861.argonne.all.keep.bam 5919432	AG
18862 /data/internal/Yoruba/RNAseq/Parents/18862/18862.argonne.all.keep.bam 6116336	GG
18870 /data/internal/Yoruba/RNAseq/Parents/18870/18870.argonne.all.keep.bam 3997557	AA
18871 /data/internal/Yoruba/RNAseq/Parents/18871/18871.argonne.all.keep.bam 4601674	AG
18909 /data/internal/Yoruba/RNAseq/Parents/18909/18909.argonne.all.keep.bam 6369551	GG
18912 /data/internal/Yoruba/RNAseq/Parents/18912/18912.argonne.all.keep.bam 1985592	AA
18913 /data/internal/Yoruba/RNAseq/Parents/18913/18913.argonne.all.keep.bam 5179049	AG
18916 /data/internal/Yoruba/RNAseq/Parents/18916/18916.argonne.all.keep.bam 5176686	AG
19093 /data/internal/Yoruba/RNAseq/Parents/19093/19093.argonne.all.keep.bam 7910264	AG
19098 /data/internal/Yoruba/RNAseq/Parents/19098/19098.argonne.all.keep.bam 5410317	AG
19099 /data/internal/Yoruba/RNAseq/Parents/19099/19099.argonne.all.keep.bam 6448868	AA
19101 /data/internal/Yoruba/RNAseq/Parents/19101/19101.argonne.all.keep.bam 5817084	AG
19102 /data/internal/Yoruba/RNAseq/Parents/19102/19102.argonne.all.keep.bam 1972254	AG
19114 /data/internal/Yoruba/RNAseq/Parents/19114/19114.argonne.all.keep.bam 4837407	AA
19116 /data/internal/Yoruba/RNAseq/Parents/19116/19116.argonne.all.keep.bam 7071715	GG
19119 /data/internal/Yoruba/RNAseq/Parents/19119/19119.argonne.all.keep.bam 924586	AG
19127 /data/internal/Yoruba/RNAseq/Parents/19127/19127.argonne.all.keep.bam 5281231	GG
19128 /data/internal/Yoruba/RNAseq/Parents/19128/19128.argonne.all.keep.bam 6327264	AG
19130 /data/internal/Yoruba/RNAseq/Parents/19130/19130.argonne.all.keep.bam 6699905	GG
19131 /data/internal/Yoruba/RNAseq/Parents/19131/19131.argonne.all.keep.bam 6117981	GG
19137 /data/internal/Yoruba/RNAseq/Parents/19137/19137.argonne.all.keep.bam 4801609	GG
19138 /data/internal/Yoruba/RNAseq/Parents/19138/19138.argonne.all.keep.bam 5249994	GG
19140 /data/internal/Yoruba/RNAseq/Parents/19140/19140.argonne.all.keep.bam 4956532	GG
19143 /data/internal/Yoruba/RNAseq/Parents/19143/19143.argonne.all.keep.bam 6690903	GG
19144 /data/internal/Yoruba/RNAseq/Parents/19144/19144.argonne.all.keep.bam 5702293	AG
19147 /data/internal/Yoruba/RNAseq/Parents/19147/19147.argonne.all.keep.bam 6439975	GG
19152 /data/internal/Yoruba/RNAseq/Parents/19152/19152.argonne.all.keep.bam 7018529	AG
19153 /data/internal/Yoruba/RNAseq/Parents/19153/19153.argonne.all.keep.bam 4587689	AA
19159 /data/internal/Yoruba/RNAseq/Parents/19159/19159.argonne.all.keep.bam 4367163	GG
19160 /data/internal/Yoruba/RNAseq/Parents/19160/19160.argonne.all.keep.bam 5760456	AG
19171 /data/internal/Yoruba/RNAseq/Parents/19171/19171.argonne.all.keep.bam 803264	AA
19172 /data/internal/Yoruba/RNAseq/Parents/19172/19172.argonne.all.keep.bam 7601512	AG
19190 /data/internal/Yoruba/RNAseq/Parents/19190/19190.argonne.all.keep.bam 5615417	AG
19192 /data/internal/Yoruba/RNAseq/Parents/19192/19192.argonne.all.keep.bam 4851062	GG
19193 /data/internal/Yoruba/RNAseq/Parents/19193/19193.argonne.all.keep.bam 3588825	AG
19200 /data/internal/Yoruba/RNAseq/Parents/19200/19200.argonne.all.keep.bam 765586	GG
19201 /data/internal/Yoruba/RNAseq/Parents/19201/19201.argonne.all.keep.bam 5486036	AG
19203 /data/internal/Yoruba/RNAseq/Parents/19203/19203.argonne.all.keep.bam 5523173	GG
19204 /data/internal/Yoruba/RNAseq/Parents/19204/19204.argonne.all.keep.bam 5796232	AG
19209 /data/internal/Yoruba/RNAseq/Parents/19209/19209.argonne.all.keep.bam 7015509	AG
19210 /data/internal/Yoruba/RNAseq/Parents/19210/19210.argonne.all.keep.bam 5460657	GG
19222 /data/internal/Yoruba/RNAseq/Parents/19222/19222.argonne.all.keep.bam 5290381	GG
19225 /data/internal/Yoruba/RNAseq/Parents/19225/19225.argonne.all.keep.bam 4898141	AG
19238 /data/internal/Yoruba/RNAseq/Parents/19238/19238.argonne.all.keep.bam 4574533	GG
19239 /data/internal/Yoruba/RNAseq/Parents/19239/19239.argonne.all.keep.bam 5122534	GG
19257 /data/internal/Yoruba/RNAseq/Parents/19257/19257.argonne.all.keep.bam 5160429	AG
