SampleID Type Tissue bamReads ReadDepth
N7MS RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333017/SRX199393/SRR607839_processed/G16545.GTEX-N7MS-0926.2.bam 66830887
N7MS RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374769/SRX203594/SRR612839_processed/G18073.GTEX-N7MS-0426-SM-2YUN6.1.bam 79250164
NFK9 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333464/SRX199609/SRR607166_processed/G16579.GTEX-NFK9-1026.2.bam 92079913
NFK9 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333390/SRX198109/SRR598044_processed/G16541.GTEX-NFK9-0626.2.bam 95373691
NPJ8 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333202/SRX199519/SRR603750_processed/G15461.GTEX-NPJ8-0326.2.bam 38344134
NPJ8 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333587/SRX199285/SRR601695_processed/G16544.GTEX-NPJ8-1626.3.bam 79719990
OHPJ RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333310/SRX199318/SRR601900_processed/G16626.GTEX-OHPJ-1026.2.bam 61438903
OHPJ RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333513/SRX199331/SRR607117_processed/G16601.GTEX-OHPJ-1626.2.bam 85805561
OHPK RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS332935/SRX199133/SRR601925_processed/G16555.GTEX-OHPK-0526.3.bam 102099099
OHPK RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374740/SRX203532/SRR615323_processed/G18069.GTEX-OHPK-1626-SM-2YUN3.1.bam 77791260
OHPL RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333222/SRX199007/SRR600584_processed/G16543.GTEX-OHPL-0526.2.bam 67299297
OHPL RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333537/SRX199088/SRR600981_processed/G16537.GTEX-OHPL-1626.2.bam 90599088
OHPM RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374816/SRX203694/SRR614936_processed/G18051.GTEX-OHPM-0526-SM-2YUMJ.1.bam 70700682
OHPM RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333259/SRX199308/SRR601815_processed/G16582.GTEX-OHPM-1626.3.bam 84642373
OIZF RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374761/SRX203576/SRR613306_processed/G18089.GTEX-OIZF-0526-SM-2YUNO.1.bam 77934014
OIZF RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374747/SRX203546/SRR612671_processed/G18050.GTEX-OIZF-1626-SM-2YUMI.1.bam 67899806
OIZG RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333154/SRX198140/SRR599059_processed/G16627.GTEX-OIZG-0526.2.bam 58779420
OIZG RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333397/SRX199146/SRR602010_processed/G16536.GTEX-OIZG-1326.2.bam 89209527
OIZH RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333627/SRX199395/SRR607863_processed/G16608.GTEX-OIZH-0526.2.bam 114308195
OIZH RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333176/SRX199200/SRR601671_processed/G16596.GTEX-OIZH-1626.2.bam 107675262
OOBK RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333179/SRX199159/SRR602058_processed/G16562.GTEX-OOBK-0526.2.bam 94703397
OOBK RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333010/SRX199036/SRR607067_processed/G16594.GTEX-OOBK-1626.2.bam 58246797
OXRK RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS332941/SRX199676/SRR608288_processed/G16602.GTEX-OXRK-0926.2.bam 101440433
OXRK RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333471/SRX199230/SRR601387_processed/G16557.GTEX-OXRK-1826.2.bam 60229451
OXRL RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS332940/SRX199512/SRR607586_processed/G16680.GTEX-OXRL-0526.3.bam 83832083
OXRL RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374993/SRX204077/SRR615635_processed/G18062.GTEX-OXRL-1626-SM-2YUMU.1.bam 71057762
OXRO RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408779/SRX261652/SRR819318_processed/G21103.GTEX-OXRO-0326-SM-33HBM.1.bam 90143955
OXRO RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS408544/SRX261088/SRR815825_processed/G25132.GTEX-OXRO-1726-SM-3LK6C.1.bam 115852623
OXRP RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333219/SRX199523/SRR603776_processed/G16677.GTEX-OXRP-0526.3.bam 77120179
OXRP RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374757/SRX203569/SRR612767_processed/G18459.GTEX-OXRP-2326-SM-2S1NL.1.bam 30598863
P4PP RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333328/SRX198983/SRR600632_processed/G16592.GTEX-P4PP-0526.2.bam 95912412
P4PP RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333125/SRX199803/SRR608264_processed/G16558.GTEX-P4PP-1626.2.bam 73523843
P4QR RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333424/SRX199539/SRR603858_processed/G16815.GTEX-P4QR-1026.3.bam 126292918
P4QR RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333213/SRX199537/SRR603236_processed/G16814.GTEX-P4QR-0726.3.bam 116872839
P4QS RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333638/SRX199219/SRR602492_processed/G16674.GTEX-P4QS-0526.3.bam 85680219
P4QS RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374748/SRX203549/SRR612683_processed/G18455.GTEX-P4QS-1626-SM-2S1NH.1.bam 41361763
P4QT RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333433/SRX199250/SRR601477_processed/G16678.GTEX-P4QT-0526.3.bam 88918309
P4QT RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374899/SRX203873/SRR613879_processed/G18463.GTEX-P4QT-1626-SM-2S1NP.1.bam 25131677
P78B RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333252/SRX199491/SRR603004_processed/G16766.GTEX-P78B-0926.3.bam 100823097
P78B RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374691/SRX203429/SRR612215_processed/G18474.GTEX-P78B-1626-SM-2S1O1.1.bam 21706571
PLZ4 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374755/SRX203565/SRR612743_processed/G18725.GTEX-PLZ4-0726-SM-2TC6Q.2.bam 60229414
PLZ4 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374749/SRX203550/SRR612695_processed/G18491.GTEX-PLZ4-0926-SM-2S1OI.1.bam 50259868
PLZ5 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333574/SRX199528/SRR603800_processed/G16765.GTEX-PLZ5-0726.4.bam 98571408
PLZ5 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333067/SRX199831/SRR605101_processed/G16762.GTEX-PLZ5-1726.3.bam 83551264
PLZ6 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333066/SRX199337/SRR607279_processed/G16772.GTEX-PLZ6-0426.3.bam 92518276
PLZ6 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374732/SRX203513/SRR615814_processed/G18485.GTEX-PLZ6-1526-SM-2S1OC.1.bam 37016459
PSDG RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374985/SRX204060/SRR615189_processed/G18496.GTEX-PSDG-1126-SM-2S1ON.1.bam 32755853
PSDG RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374851/SRX203770/SRR614251_processed/G18488.GTEX-PSDG-0426-SM-2S1OF.1.bam 16247666
PW2O RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS332928/SRX198171/SRR598484_processed/G16644.GTEX-PW2O-0526.3.bam 86041763
