SampleID Type Tissue Factor Condition Replicate bamReads Control Peaks ReadDepth
013A RNASeq 24hrShamControl - - 1 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/013A.chr5and19.bam - - 2148862
013B RNASeq 24hr2uMsimvastatinLPDS - - 1 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/013B.chr5and19.bam - - 1873794
014A RNASeq 24hrShamControl - - 2 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/014A.chr5and19.bam - - 2092966
014B RNASeq 24hr2uMsimvastatinLPDS - - 2 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/014B.chr5and19.bam - - 3450279
015A RNASeq 24hrShamControl - - 3 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/015A.chr5and19.bam - - 2070247
015B RNASeq 24hr2uMsimvastatinLPDS - - 3 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/015B.chr5and19.bam - - 2084107
016A RNASeq 24hrShamControl - - 4 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/016A.chr5and19.bam - - 2806560
016B RNASeq 24hr2uMsimvastatinLPDS - - 4 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/016B.chr5and19.bam - - 1646694
017A RNASeq 24hrShamControl - - 5 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/017A.chr5and19.bam - - 2362752
017B RNASeq 24hr2uMsimvastatinLPDS - - 5 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/017B.chr5and19.bam - - 4054400
053A RNASeq 24hrShamControl - - 6 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/053A.chr5and19.bam - - 963240
053B RNASeq 24hr2uMsimvastatinLPDS - - 6 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/053B.chr5and19.bam - - 2619609
054A RNASeq 24hrShamControl - - 7 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/054A.chr5and19.bam - - 2407694
054B RNASeq 24hr2uMsimvastatinLPDS - - 7 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/054B.chr5and19.bam - - 2989135
055A RNASeq 24hrShamControl - - 8 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/055A.chr5and19.bam - - 1550735
055B RNASeq 24hr2uMsimvastatinLPDS - - 8 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/055A.chr5and19.bam - - 2350343
056A RNASeq 24hrShamControl - - 9 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/056A.chr5and19.bam - - 1320166
056B RNASeq 24hr2uMsimvastatinLPDS - - 9 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/056B.chr5and19.bam - - 1723647
057A RNASeq 24hrShamControl - - 10 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/057A.chr5and19.bam - - 2063315
057B RNASeq 24hr2uMsimvastatinLPDS - - 10 /scratch/shim/RNAseq_Ron/HepG2_RNAseq/057B.chr5and19.bam - - 2909394
